Feb 15, 2019 2:25:03 PM org.apache.http.impl.client.DefaultHttpClient tryConnect
Feb 15, 2019 2:25:03 PM org.apache.http.impl.client.DefaultHttpClient tryConnect
INFO: I/O exception (java.net.SocketException) caught when connecting to {s}->https://occ-email-fetch-api.us-east-1.bigdata.expedia.com:443: Connection reset
INFO: Retrying connect to {s}->https://occ-email-fetch-api.us-east-1.bigdata.expedia.com:443
SLF4J: Defaulting to no-operation (NOP) logger implementation
SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
Thread-9|2691
Thread-4|2695
Thread-9|2726
Thread-9|2738
Thread-9|2745
Thread-9|2816
Thread-4|2819
Thread-4|2858
Thread-9|3004
Thread-9|3017
Thread-4|3041
Thread-4|3072
Thread-9|3085
Thread-5|3125
Thread-4|3146
Thread-4|3163
Thread-9|3236
Thread-4|3284
Thread-9|3290
Thread-4|3293
Thread-9|3310
Thread-4|3340
Thread-4|3388
Thread-4|3402
Thread-9|3445
Thread-9|3448
Thread-4|3499
Thread-4|3547
Thread-9|3664
Thread-9|3678
Thread-9|3747
Thread-4|3891
Thread-3|4086
Thread-4|4257
Thread-2|4346
Thread-0|4632
Thread-4|4658
Thread-9|4771
Thread-0|4937
Thread-1|5120
Thread-6|5156
Thread-0|5330
Thread-3|5331
Thread-9|5344
Thread-2|5401
Thread-9|5462
Thread-8|5531
Thread-5|5658
Thread-3|5739
Thread-4|5774
Thread-2|5784
Thread-2|5788
Thread-1|5865
Thread-4|5871
Thread-8|5915
Thread-4|5967
Thread-2|5979
Thread-4|5993
Thread-0|5996
Thread-3|6060
Thread-9|6107
Thread-7|6111
Thread-1|6143
Thread-0|6147
Thread-7|6242
Thread-9|6258
Thread-9|6264
Thread-9|6293
Thread-4|6297
Thread-4|6304
Thread-1|6305
Thread-4|6388
Thread-9|6418
Thread-7|6443
Thread-3|6485
Thread-0|6495
Thread-1|6515
Thread-9|6564
Thread-8|6598
Thread-8|6620
Thread-9|6627
Thread-3|6629
Thread-5|6633
Thread-1|6641
Thread-1|6650
Thread-2|6658
Thread-4|6709
Thread-5|6749
Thread-7|6815
Thread-0|6854
Thread-8|6894
Thread-1|6898
Thread-5|6909
Thread-7|6914
Thread-1|6943
Thread-6|6979
Thread-1|6987
Thread-4|7042
Thread-9|7096
Thread-6|7103
Thread-8|7106
Thread-7|7128
Thread-4|7153
Thread-4|7240
Thread-1|7241
Thread-1|7328
Thread-2|7343
Thread-7|7363
Thread-4|7400
Thread-0|7401
Thread-6|7434
Thread-6|7540
Thread-0|7554
Thread-3|7562
Thread-5|7589
Thread-1|7607
Thread-0|7640
Thread-7|7643
Thread-7|7648
Thread-0|7657
Thread-1|7688
Thread-3|7691
Thread-3|7716
